name,age_group,population
India_Daman_and_Diu,0-4,22520
India_Daman_and_Diu,5-19,73462
India_Daman_and_Diu,20-49,164924
India_Daman_and_Diu,50-64,19919
India_Daman_and_Diu,65+,9309
India_Goa,0-4,120274
India_Goa,5-19,394136
India_Goa,20-49,859902
India_Goa,50-64,245274
India_Goa,65+,120273
India_Gujarat,0-4,6519585
India_Gujarat,5-19,21472297
India_Gujarat,20-49,32946656
India_Gujarat,50-64,7857055
India_Gujarat,65+,3303241
India_Haryana,0-4,2829941
India_Haryana,5-19,9897771
India_Haryana,20-49,12981996
India_Haryana,50-64,2971729
India_Haryana,65+,1560433
India_Himachal_Pradesh,0-4,641527
India_Himachal_Pradesh,5-19,2268490
India_Himachal_Pradesh,20-49,3743793
India_Himachal_Pradesh,50-64,1023466
India_Himachal_Pradesh,65+,511503
India_Jammu_and_Kashmir,0-4,1649769
India_Jammu_and_Kashmir,5-19,4748535
India_Jammu_and_Kashmir,20-49,6402077
India_Jammu_and_Kashmir,50-64,1438796
India_Jammu_and_Kashmir,65+,721376
India_Jharkhand,0-4,4334358
India_Jharkhand,5-19,13630088
India_Jharkhand,20-49,15782727
India_Jharkhand,50-64,3995130
India_Jharkhand,65+,1609402
India_Karnataka,0-4,5990485
India_Karnataka,5-19,20293088
India_Karnataka,20-49,34402078
India_Karnataka,50-64,8244385
India_Karnataka,65+,3950874
India_Kerala,0-4,2973118
India_Kerala,5-19,9525940
India_Kerala,20-49,18146692
India_Kerala,50-64,6010337
India_Kerala,65+,3194162
India_Madhya_Pradesh,0-4,8922998
India_Madhya_Pradesh,5-19,28763671
India_Madhya_Pradesh,20-49,36154283
India_Madhya_Pradesh,50-64,8539703
India_Madhya_Pradesh,65+,4256263
India_Maharashtra,0-4,11049443
India_Maharashtra,5-19,37096491
India_Maharashtra,20-49,62427476
India_Maharashtra,50-64,16311421
India_Maharashtra,65+,7167151
India_Manipur,0-4,206
India_Manipur,5-19,741
India_Manipur,20-49,1060
India_Manipur,50-64,238
India_Manipur,65+,104
